                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01094,                 0.8418,                      0,                0.78318,                 1.3632,                0.93668,                0.94872,                0.98402,                0.68916,                0.89564,                0.86667,                 0.9198,                0.87725,                0.00747,                0.49767,                      0,                0.59896,                 1.2481,                      0,                      0,                      0
                      2,                0.01102,                0.95637,                      0,                 0.8375,                  1.349,                0.91805,                0.97668,                0.98492,                0.69129,                0.89964,                0.87344,                 0.9217,                0.87848,                0.00751,                0.49765,                      0,                0.59825,                 1.2493,             1.9933e-05,             1.9933e-05,             1.9933e-05
                      3,                0.01131,                0.80622,                      0,                0.80007,                 1.3054,                0.93584,                0.94872,                0.98442,                 0.6892,                0.91336,                0.86504,                0.92299,                0.87874,                0.00755,                0.50025,                      0,                0.60223,                 1.2523,             3.9734e-05,             3.9734e-05,             3.9734e-05
                      4,                0.01134,                0.88453,                      0,                 0.8137,                 1.3882,                0.93709,                0.94872,                0.98317,                 0.6898,                0.90242,                0.87692,                0.92644,                0.88531,                0.00761,                0.50094,                      0,                0.60328,                 1.2546,             5.9401e-05,             5.9401e-05,             5.9401e-05
                      5,                0.01164,                0.66439,                      0,                0.81219,                  1.357,                0.92137,                 0.9641,                0.97976,                0.70296,                0.87893,                0.88205,                0.91869,                0.87406,                 0.0072,                0.48323,                      0,                0.59274,                 1.2359,             7.8934e-05,             7.8934e-05,             7.8934e-05
                      6,                0.01126,                0.72677,                      0,                0.73923,                  1.335,                0.89989,                0.97949,                0.97897,                0.70318,                 0.8808,                0.87692,                0.91718,                 0.8756,                0.00723,                 0.4855,                      0,                0.59275,                 1.2383,             9.8335e-05,             9.8335e-05,             9.8335e-05
                      7,                0.01012,                0.83785,                      0,                0.75842,                 1.3448,                 0.9165,                0.96923,                0.97539,                0.70346,                0.87765,                0.88283,                0.92378,                0.87364,                0.00692,                0.48412,                      0,                 0.6001,                 1.2032,              0.0001176,              0.0001176,              0.0001176
                      8,                 0.0107,                0.56021,                      0,                0.72303,                 1.2105,                0.90432,                0.96939,                0.97582,                0.70693,                0.87454,                0.88205,                0.92265,                0.87029,                0.00668,                0.47705,                      0,                0.61671,                 1.1747,             0.00013674,             0.00013674,             0.00013674
                      9,                0.01057,                0.53769,                      0,                0.69278,                 1.2337,                0.91257,                0.97436,                0.97775,                0.69355,                0.86637,                0.87692,                0.91691,                0.86454,                0.00674,                0.47919,                      0,                0.64482,                 1.1485,             0.00015574,             0.00015574,             0.00015574
                     10,                 0.0085,                0.46136,                      0,                0.66977,                 1.1777,                0.91539,                0.97949,                0.97763,                0.67396,                0.85765,                0.90256,                0.91041,                0.84212,                0.00707,                0.53583,                      0,                0.69644,                 1.1326,             0.00017461,             0.00017461,             0.00017461
                     11,                0.00802,                0.44351,                      0,                0.61769,                  1.097,                0.92959,                 0.9641,                0.97207,                 0.6273,                0.87933,                0.89683,                0.91516,                0.83975,                0.00774,                0.54734,                      0,                 0.7602,                 1.1367,             0.00019334,             0.00019334,             0.00019334
                     12,                0.00759,                0.44977,                      0,                 0.6026,                 1.0834,                0.92823,                 0.9641,                0.97353,                0.55846,                0.85809,                0.89744,                0.91048,                0.85118,                0.00871,                0.49561,                      0,                0.85652,                 1.1589,             0.00021194,             0.00021194,             0.00021194
                     13,                0.00766,                0.40415,                      0,                0.61287,                 1.0679,                0.91223,                0.94359,                0.95909,                 0.5049,                0.87441,                0.88718,                0.91614,                0.86334,                0.00967,                0.45001,                      0,                0.95254,                 1.1883,             0.00023041,             0.00023041,             0.00023041
                     14,                0.00734,                0.44169,                      0,                0.60307,                 1.1389,                0.90204,                0.94448,                0.95719,                0.47074,                0.88012,                0.89231,                0.91734,                0.85938,                0.01039,                0.45096,                      0,                 1.0516,                 1.2079,             0.00024874,             0.00024874,             0.00024874
                     15,                0.00752,                 0.4005,                      0,                0.60386,                 1.1255,                  0.922,                0.94359,                0.96507,                 0.4644,                  0.884,                0.90256,                0.92042,                0.84579,                 0.0107,                0.49542,                      0,                 1.1132,                 1.2128,             0.00026695,             0.00026695,             0.00026695
                     16,                0.00736,                0.35128,                      0,                0.60602,                 1.0804,                0.92556,                0.95645,                0.96859,                0.47917,                0.87279,                0.89744,                0.91102,                0.81939,                0.01056,                0.53105,                      0,                 1.0784,                 1.2054,             0.00028502,             0.00028502,             0.00028502
                     17,                0.00727,                0.39259,                      0,                0.58893,                 1.0418,                0.93337,                0.96923,                0.97425,                0.49669,                0.88095,                0.90256,                0.91235,                0.83809,                0.01035,                0.50622,                      0,                 1.0058,                  1.194,             0.00030295,             0.00030295,             0.00030295
                     18,                 0.0075,                0.37217,                      0,                0.61369,                 1.0703,                0.93972,                0.95938,                0.97442,                0.54044,                 0.8921,                0.90769,                0.91464,                0.83031,                0.00961,                0.52872,                      0,                0.86272,                 1.1698,             0.00032075,             0.00032075,             0.00032075
                     19,                0.00663,                0.30005,                      0,                0.57049,                 1.0625,                0.94918,                0.95791,                0.97375,                0.59921,                0.89843,                0.90718,                0.91357,                0.81468,                0.00871,                0.55994,                      0,                0.74313,                 1.1429,             0.00033842,             0.00033842,             0.00033842
                     20,                0.00658,                0.31141,                      0,                0.55219,                 1.0361,                0.93978,                0.96042,                0.97359,                0.64566,                0.89363,                0.91795,                0.92788,                 0.8329,                0.00796,                 0.5183,                      0,                0.68551,                 1.1189,             0.00035596,             0.00035596,             0.00035596
                     21,                0.00688,                0.33302,                      0,                0.55351,                 1.0189,                0.94481,                0.96572,                0.98074,                0.67515,                0.88422,                0.91795,                0.92673,                0.84879,                0.00758,                0.49143,                      0,                0.67696,                 1.1145,             0.00037336,             0.00037336,             0.00037336
                     22,                0.00684,                0.27888,                      0,                0.56052,                 1.0221,                0.96103,                0.97436,                0.98993,                0.68753,                 0.8845,                0.92821,                0.92919,                0.85153,                0.00759,                0.49963,                      0,                0.69345,                 1.1117,             0.00039063,             0.00039063,             0.00039063
                     23,                0.00698,                0.28507,                      0,                 0.5573,                 1.0114,                0.94115,                0.98413,                0.98985,                0.69717,                0.87242,                0.91176,                0.92632,                  0.861,                0.00747,                0.47696,                      0,                0.73041,                 1.0978,             0.00040777,             0.00040777,             0.00040777
                     24,                0.00697,                0.29669,                      0,                0.57134,                 1.0325,                0.93197,                0.97949,                0.98847,                0.70053,                 0.9197,                0.88099,                0.92846,                0.86935,                0.00721,                0.44407,                      0,                0.73232,                 1.0815,             0.00042477,             0.00042477,             0.00042477
                     25,                0.00686,                0.31343,                      0,                0.57917,                 1.0069,                0.91934,                0.97949,                0.98443,                0.69721,                0.91436,                0.87608,                0.93412,                0.89033,                0.00702,                0.40907,                      0,                0.74108,                  1.071,             0.00044164,             0.00044164,             0.00044164
                     26,                0.00697,                0.28944,                      0,                0.57217,                 1.0245,                0.92523,                0.98462,                0.98238,                0.69042,                 0.8775,                0.93333,                0.92741,                0.87954,                0.00686,                 0.4095,                      0,                0.72577,                 1.0617,             0.00045838,             0.00045838,             0.00045838
                     27,                0.00757,                 0.3779,                      0,                 0.6067,                 1.0181,                0.93272,                0.98462,                0.97939,                0.68555,                0.88513,                0.93333,                0.92499,                0.85066,                0.00684,                0.48803,                      0,                0.71388,                 1.0585,             0.00047498,             0.00047498,             0.00047498
                     28,                0.00696,                  0.306,                      0,                0.57802,                0.99141,                0.93518,                0.97436,                 0.9732,                0.68147,                0.86445,                0.90256,                0.90257,                0.80895,                0.00688,                 0.5584,                      0,                 0.7084,                 1.0633,             0.00049145,             0.00049145,             0.00049145
                     29,                0.00711,                0.33043,                      0,                0.59163,                 1.0206,                0.93072,                0.97949,                0.97368,                0.68219,                0.87296,                0.88096,                0.90487,                0.81474,                0.00688,                0.55016,                      0,                0.68635,                 1.0681,             0.00050779,             0.00050779,             0.00050779
                     30,                0.00665,                0.31986,                      0,                0.58275,                  1.015,                0.93868,                0.95385,                0.97475,                0.68372,                0.90437,                0.92308,                0.93549,                0.85338,                0.00704,                0.49184,                      0,                0.65577,                 1.0781,             0.00052399,             0.00052399,             0.00052399
                     31,                0.00715,                 0.3206,                      0,                0.58241,                 1.0292,                0.96018,                0.94872,                0.97961,                0.70115,                0.92119,                0.91795,                 0.9332,                0.85281,                0.00703,                0.49792,                      0,                0.63286,                 1.0825,             0.00054006,             0.00054006,             0.00054006
                     32,                0.00647,                0.24288,                      0,                0.55868,                0.98164,                0.96382,                0.95618,                0.98517,                0.70123,                0.90725,                0.90296,                0.92411,                0.85212,                0.00692,                0.47041,                      0,                0.62096,                 1.0636,               0.000556,               0.000556,               0.000556
                     33,                0.00649,                0.28175,                      0,                0.56113,                 1.0084,                0.94985,                 0.9712,                0.98771,                 0.7176,                 0.8972,                0.91282,                0.92915,                0.84186,                0.00697,                0.51023,                      0,                0.64274,                 1.0563,              0.0005718,              0.0005718,              0.0005718
                     34,                 0.0074,                0.34089,                      0,                0.60287,                 1.0649,                0.94491,                0.96762,                0.98921,                0.70204,                0.91359,                0.89231,                0.92549,                 0.8167,                0.00728,                0.56986,                      0,                0.65937,                 1.0738,             0.00058747,             0.00058747,             0.00058747
                     35,                0.00706,                0.36041,                      0,                0.56875,                 1.0162,                0.98427,                0.96267,                0.99253,                0.69869,                0.91309,                0.89231,                0.93278,                0.84386,                0.00748,                 0.5139,                      0,                0.66356,                 1.0797,             0.00060301,             0.00060301,             0.00060301
                     36,                0.00727,                 0.3327,                      0,                0.58683,                0.97277,                0.95292,                0.96923,                0.99177,                0.70168,                0.89609,                0.92875,                  0.951,                0.89323,                0.00761,                0.43635,                      0,                0.64502,                 1.0878,             0.00061841,             0.00061841,             0.00061841
                     37,                0.00682,                0.28609,                      0,                0.56206,                0.99108,                0.95958,                0.97405,                0.99184,                0.70067,                0.90828,                0.91795,                0.95006,                 0.8964,                0.00765,                0.42364,                      0,                0.62828,                 1.0954,             0.00063369,             0.00063369,             0.00063369
                     38,                 0.0068,                  0.263,                      0,                0.55644,                 0.9888,                0.94955,                 0.9653,                0.99089,                0.69515,                0.90028,                0.90769,                0.93634,                0.86911,                0.00739,                0.48242,                      0,                0.61635,                 1.0931,             0.00064882,             0.00064882,             0.00064882
                     39,                0.00707,                0.29364,                      0,                0.57174,                0.99825,                0.93045,                0.97949,                0.98927,                0.70188,                  0.882,                0.87692,                0.92313,                0.80368,                0.00705,                0.66207,                      0,                0.60537,                 1.0922,             0.00066383,             0.00066383,             0.00066383
                     40,                0.00843,                 0.3294,                      0,                0.62123,                 1.0642,                0.93601,                0.97436,                0.98902,                0.70932,                0.84833,                0.86154,                0.90451,                0.75955,                0.00677,                0.75912,                      0,                0.58904,                 1.0843,              0.0006787,              0.0006787,              0.0006787
                     41,                0.00615,                0.42951,                      0,                0.55471,                 1.0146,                0.94049,                0.96923,                0.98193,                0.67806,                0.87039,                0.89231,                0.92593,                0.80793,                0.00715,                0.66201,                      0,                0.59087,                 1.0697,             0.00069344,             0.00069344,             0.00069344
                     42,                0.00665,                 0.3367,                      0,                0.56679,                0.99357,                0.94488,                0.96697,                0.98339,                0.65667,                0.91559,                0.90256,                0.94275,                0.88822,                0.00755,                0.46488,                      0,                0.61596,                  1.055,             0.00070805,             0.00070805,             0.00070805
                     43,                0.00646,                0.31485,                      0,                0.57571,                 1.0211,                0.95466,                0.97188,                 0.9853,                0.64616,                0.93729,                0.93846,                0.96265,                0.92367,                0.00786,                0.36017,                      0,                0.64451,                 1.0552,             0.00072252,             0.00072252,             0.00072252
                     44,                0.00656,                0.26776,                      0,                0.55788,                0.96812,                0.97441,                0.97651,                0.99038,                0.67152,                0.94363,                0.94424,                0.96978,                0.93039,                0.00741,                0.35034,                      0,                0.63798,                 1.0407,             0.00073686,             0.00073686,             0.00073686
                     45,                0.00628,                 0.3965,                      0,                0.55251,                 1.0047,                0.96271,                0.97436,                 0.9865,                0.69734,                0.93837,                0.93691,                0.95994,                0.90891,                0.00694,                0.41685,                      0,                0.62562,                 1.0299,             0.00075106,             0.00075106,             0.00075106
                     46,                0.00666,                0.28755,                      0,                0.56636,                0.97054,                0.96946,                0.97678,                0.99154,                0.71769,                0.93238,                0.93333,                0.95465,                0.88507,                0.00668,                0.47748,                      0,                0.60951,                 1.0329,             0.00076514,             0.00076514,             0.00076514
                     47,                0.00626,                0.27788,                      0,                0.54861,                0.98847,                0.96684,                0.97436,                0.99288,                0.71698,                0.93122,                0.93846,                0.95814,                0.90088,                0.00679,                0.45081,                      0,                0.60713,                 1.0414,             0.00077907,             0.00077907,             0.00077907
                     48,                0.00627,                0.36211,                      0,                0.53418,                 0.9781,                0.95991,                0.98245,                0.99278,                0.72057,                0.92887,                0.93757,                0.96297,                0.93101,                0.00701,                0.36595,                      0,                0.59589,                 1.0535,             0.00079288,             0.00079288,             0.00079288
                     49,                0.00633,                0.35751,                      0,                0.54516,                0.97854,                0.96145,                0.97949,                0.99098,                0.71747,                0.92398,                0.93495,                0.96093,                0.92632,                0.00717,                0.36234,                      0,                0.59138,                 1.0694,             0.00080655,             0.00080655,             0.00080655
                     50,                0.00725,                0.46406,                      0,                0.59971,                 1.0207,                0.94229,                0.98462,                0.98932,                0.70374,                0.93231,                0.90769,                0.95481,                0.91603,                0.00724,                0.39293,                      0,                0.59033,                 1.0806,             0.00082009,             0.00082009,             0.00082009
                     51,                0.00614,                0.29114,                      0,                0.54282,                  1.013,                 0.9619,                 0.9641,                0.99071,                0.70546,                0.89342,                0.90256,                 0.9366,                0.86725,                0.00725,                0.48567,                      0,                  0.619,                 1.0771,              0.0008335,              0.0008335,              0.0008335
                     52,                0.00703,                0.29471,                      0,                0.58932,                0.99874,                 0.9693,                0.97133,                0.99239,                0.72302,                0.88253,                0.87692,                0.92222,                0.82806,                0.00708,                0.54589,                      0,                0.62605,                 1.0658,             0.00084677,             0.00084677,             0.00084677
                     53,                0.00744,                 0.3073,                      0,                0.59254,                 1.0042,                0.94179,                 0.9957,                 0.9928,                0.73603,                0.88996,                0.90769,                0.93359,                 0.8469,                 0.0069,                0.48784,                      0,                0.62208,                 1.0419,             0.00085991,             0.00085991,             0.00085991
                     54,                 0.0064,                0.29648,                      0,                0.55567,                0.97796,                0.96423,                0.98462,                0.99349,                0.73654,                0.94695,                 0.9154,                 0.9501,                0.91266,                0.00677,                0.34607,                      0,                0.62331,                 1.0256,             0.00087292,             0.00087292,             0.00087292
                     55,                0.00687,                 0.3446,                      0,                0.58026,                0.96969,                 0.9596,                      1,                0.99318,                 0.7344,                0.92494,                 0.9641,                0.97742,                0.94178,                0.00635,                0.32966,                      0,                0.61482,                 1.0242,             0.00088579,             0.00088579,             0.00088579
                     56,                0.00648,                0.25823,                      0,                0.56975,                0.97864,                0.97421,                0.96868,                0.99221,                0.73424,                 0.9471,                0.93333,                0.97268,                0.94346,                0.00605,                 0.3094,                      0,                0.59478,                 1.0176,             0.00089854,             0.00089854,             0.00089854
                     57,                0.00642,                  0.249,                      0,                0.56908,                0.97892,                0.96005,                0.96923,                0.99041,                0.75152,                0.92337,                0.92821,                0.96046,                0.92977,                0.00598,                0.32944,                      0,                0.59755,                 1.0095,             0.00091114,             0.00091114,             0.00091114
                     58,                0.00692,                0.30252,                      0,                0.58575,                0.98885,                0.96202,                 0.9641,                0.98982,                0.77506,                0.89772,                0.89744,                0.94286,                 0.9009,                0.00573,                0.41422,                      0,                0.57624,                 1.0104,             0.00092362,             0.00092362,             0.00092362
                     59,                0.00639,                0.28883,                      0,                 0.5621,                0.97786,                0.95294,                 0.9641,                0.98876,                0.77139,                0.91152,                0.91795,                0.95528,                0.91333,                0.00572,                0.41534,                      0,                0.57646,                 1.0055,             0.00093596,             0.00093596,             0.00093596
                     60,                 0.0061,                0.29162,                      0,                0.54654,                0.96479,                0.94989,                0.97209,                0.99142,                0.75873,                 0.9146,                0.93362,                0.96443,                0.93952,                0.00632,                0.35036,                      0,                0.59034,                 1.0225,             0.00094817,             0.00094817,             0.00094817
                     61,                0.00594,                0.27695,                      0,                0.53867,                0.98559,                0.94471,                0.96383,                0.99008,                0.72411,                0.92216,                0.91133,                0.95867,                0.93587,                0.00714,                0.32968,                      0,                0.61506,                 1.0517,             0.00096024,             0.00096024,             0.00096024
                     62,                0.00673,                0.27309,                      0,                0.55785,                0.97151,                0.95623,                0.94872,                0.98831,                0.69586,                0.92864,                0.91795,                0.95542,                0.92895,                0.00772,                0.33818,                      0,                0.65531,                 1.0586,             0.00097218,             0.00097218,             0.00097218
