                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02024,                  6.795,                      0,                 3.3749,                 4.1494,                0.01248,                0.73913,                 0.0188,                0.00598,                0.00091,                0.05408,                0.00072,                  9e-05,                0.01942,                 6.5923,                      0,                 3.3103,                 4.0942,                0.00022,                0.00022,                0.00022
                      2,                0.01961,                 3.3006,                      0,                 2.3056,                 3.7205,                0.08213,                  0.228,                0.04847,                0.01453,                0.03472,                 0.4666,                 0.0262,                0.00826,                0.01862,                 6.0498,                      0,                    inf,                 4.3815,             0.00045908,             0.00045908,             0.00045908
                      3,                 0.0166,                 1.7255,                      0,                 1.7576,                 3.1006,                0.02533,                0.55779,                0.02149,                0.00794,                0.01382,                0.76034,                0.01726,                0.00716,                0.01865,                 8.1558,                      0,                    inf,                     11,              0.0006972,              0.0006972,              0.0006972
                      4,                0.01413,                 1.2606,                      0,                 1.5425,                 2.7266,                0.05119,                0.55992,                 0.0408,                0.01575,                0.01428,                0.71368,                0.01234,                0.00525,                0.01639,                 10.236,                      0,                    inf,                 12.598,             0.00093437,             0.00093437,             0.00093437
                      5,                0.01283,                 1.1658,                      0,                 1.3615,                  2.501,                 0.0311,                0.45069,                0.03138,                0.01223,                0.01643,                0.39555,                0.01492,                0.00604,                0.01673,                 8.5337,                      0,                    inf,                 11.605,              0.0011706,              0.0011706,              0.0011706
                      6,                0.01106,                 1.1503,                      0,                 1.2237,                 2.2748,                0.02579,                0.30117,                0.02487,                0.00835,                0.01713,                0.25769,                0.00943,                0.00409,                0.01737,                  7.961,                      0,                    inf,                 5.9938,              0.0014058,              0.0014058,              0.0014058
                      7,                 0.0103,                  1.008,                      0,                 1.1603,                 2.1925,                0.29324,                0.41888,                0.19041,                0.07115,                0.06746,                0.41463,                0.04707,                0.01862,                0.01625,                 7.3098,                      0,                    inf,                 6.2291,              0.0016401,              0.0016401,              0.0016401
                      8,                0.00959,                0.92863,                      0,                 1.0411,                 2.0589,                0.22923,                0.30011,                0.12289,                0.04044,                0.12317,                0.29692,                0.05437,                0.01684,                0.01738,                 7.3596,                      0,                  12.22,                 5.7507,              0.0018734,              0.0018734,              0.0018734
                      9,                 0.0089,                0.87287,                      0,                0.98624,                 1.9609,                0.20143,                0.44963,                0.11726,                 0.0364,                0.04942,                0.35631,                  0.039,                0.01113,                0.01805,                 8.0816,                      0,                    inf,                 9.0327,               0.001968,               0.001968,               0.001968
                     10,                0.00767,                0.87312,                      0,                0.88322,                 1.7802,                0.52847,                0.49205,                0.36058,                0.17199,                0.07041,                0.34464,                0.04793,                0.01733,                0.01175,                 7.2802,                      0,                    inf,                   3.82,               0.001968,               0.001968,               0.001968
                     11,                0.00741,                0.82858,                      0,                0.83333,                 1.7273,                0.70004,                0.71686,                0.70838,                0.43225,                0.36442,                0.46872,                0.26729,                 0.1087,                0.00935,                 4.4855,                      0,                 4.9136,                 2.9302,               0.001964,               0.001964,               0.001964
                     12,                0.00657,                0.72297,                      0,                0.72407,                 1.6032,                0.59841,                0.83669,                0.77763,                0.48596,                0.27636,                0.43009,                0.21865,                0.08823,                0.00837,                 5.3467,                      0,                 5.4008,                 2.5541,                0.00196,                0.00196,                0.00196
                     13,                0.00633,                0.71138,                      0,                0.69529,                  1.559,                0.60065,                0.85578,                0.77605,                0.55568,                0.49941,                 0.7158,                0.54116,                0.18684,                0.00669,                 3.2411,                      0,                 4.1201,                 2.0196,               0.001956,               0.001956,               0.001956
                     14,                 0.0064,                0.72613,                      0,                0.69847,                 1.5611,                0.66106,                0.85684,                0.78289,                 0.5547,                0.56263,                0.73065,                0.57944,                0.26812,                0.00722,                 2.6425,                      0,                  3.869,                 2.1889,               0.001952,               0.001952,               0.001952
                     15,                0.00627,                0.69634,                      0,                0.67354,                   1.53,                0.67982,                0.76564,                0.73941,                0.54991,                0.67417,                0.75928,                0.72788,                0.33091,                0.00688,                 2.9705,                      0,                 3.3976,                  2.063,              0.0019481,              0.0019481,              0.0019481
                     16,                0.00552,                0.63797,                      0,                0.63659,                 1.4232,                0.76393,                0.82503,                0.80781,                 0.6294,                0.75905,                0.80276,                0.78757,                0.56028,                0.00607,                 2.1186,                      0,                 1.9486,                  1.741,              0.0019441,              0.0019441,              0.0019441
                     17,                0.00556,                0.67852,                      0,                0.61786,                 1.4176,                0.58098,                0.55567,                0.54413,                0.35365,                0.63623,                0.61506,                0.62191,                0.38234,                0.00932,                 2.4913,                      0,                 2.6556,                 2.4159,              0.0019401,              0.0019401,              0.0019401
