                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04018,                 10.909,                      0,                 3.1495,                 3.7477,                0.00043,                0.00347,                0.00022,                  4e-05,                      0,                      0,                      0,                      0,                0.04049,                 10.807,                      0,                 3.1001,                 3.8522,                0.00032,                0.00032,                0.00032
                      2,                0.03046,                 9.8213,                      0,                 1.5751,                 2.4869,                0.29819,                0.26196,                0.12081,                0.03079,                      0,                      0,                      0,                      0,                 0.0257,                 9.9348,                      0,                 1.5563,                 2.6389,             0.00065868,             0.00065868,             0.00065868
                      3,                0.02187,                 8.9161,                      0,                 1.3112,                 1.8745,                0.12939,                0.24676,                0.06652,                 0.0151,                      0,                      0,                      0,                      0,                0.02896,                 11.405,                      0,                 8.2652,                 6.3786,               0.000996,               0.000996,               0.000996
                      4,                 0.0179,                 8.3949,                      0,                 1.1551,                 1.6807,                0.35643,                0.39591,                0.28648,                0.09245,                      0,                      0,                      0,                      0,                0.01777,                 10.935,                      0,                    inf,                 3.2509,               0.001332,               0.001332,               0.001332
                      5,                 0.0163,                 7.8345,                      0,                 1.0578,                 1.5262,                0.18031,                0.36392,                0.13102,                0.03918,                  2e-05,                0.00018,                  1e-05,                      0,                0.01941,                 11.147,                      0,                    inf,                 4.8321,              0.0016666,              0.0016666,              0.0016666
                      6,                0.01469,                 7.1305,                      0,                 1.0184,                 1.4051,                0.25422,                0.62091,                0.23348,                 0.0794,                0.00036,                0.00292,                0.00018,                  3e-05,                0.01686,                 9.2622,                      0,                    inf,                 3.5698,                0.00198,                0.00198,                0.00198
                      7,                0.01471,                 6.5836,                      0,                0.98235,                 1.4113,                0.19882,                0.71139,                0.18508,                0.06726,                  4e-05,                0.00037,                  2e-05,                      0,                0.01578,                 10.202,                      0,                    inf,                 2.3827,                0.00198,                0.00198,                0.00198
                      8,                0.01458,                 5.6631,                      0,                 1.0034,                 1.3337,                0.44536,                0.74703,                0.42748,                0.17232,                0.00197,                0.00457,                0.00069,                  8e-05,                0.01369,                 9.6909,                      0,                    inf,                 2.3542,               0.001976,               0.001976,               0.001976
                      9,                0.01384,                 5.2437,                      0,                0.97162,                 1.2998,                0.42417,                0.47377,                0.38548,                0.13405,                0.12408,                0.08755,                0.02913,                 0.0056,                0.01778,                 9.2376,                      0,                 2.1955,                 2.5743,               0.001972,               0.001972,               0.001972
                     10,                0.01348,                 4.4994,                      0,                0.95223,                 1.2439,                0.78063,                0.84688,                0.84179,                0.40278,                  0.107,                0.11479,                0.02274,                0.00405,                0.01162,                 8.7573,                      0,                 1.5687,                 1.4604,               0.001968,               0.001968,               0.001968
                     11,                0.01326,                 4.7121,                      0,                0.94487,                 1.2391,                0.66885,                0.77317,                0.73429,                0.33975,                0.04628,                0.10199,                0.01516,                0.00296,                0.01207,                 8.3411,                      0,                 1.4284,                 1.5385,               0.001964,               0.001964,               0.001964
                     12,                0.01305,                 4.1027,                      0,                0.92312,                 1.1983,                0.65574,                0.74082,                0.69318,                0.27541,                 0.4005,                0.42716,                0.26275,                0.05982,                0.01402,                 5.8517,                      0,                 1.4764,                 1.4571,                0.00196,                0.00196,                0.00196
                     13,                0.01229,                 3.3056,                      0,                0.90484,                  1.171,                0.75642,                 0.8439,                0.84477,                0.43351,                 0.4142,                0.49534,                0.30382,                0.07611,                0.01089,                 5.0206,                      0,                 1.4007,                 1.2719,               0.001956,               0.001956,               0.001956
                     14,                0.01193,                 3.1251,                      0,                0.89126,                 1.1484,                0.81066,                0.84909,                0.84562,                0.46889,                0.67175,                0.63029,                0.56687,                0.21113,                0.01035,                 3.8767,                      0,                0.92831,                 1.2723,               0.001952,               0.001952,               0.001952
                     15,                 0.0118,                 2.9258,                      0,                0.89166,                 1.1454,                0.77802,                0.80656,                0.81753,                0.40022,                0.53469,                0.53281,                0.43272,                0.13526,                0.01187,                  4.357,                      0,                0.97945,                 1.3976,               0.001948,               0.001948,               0.001948
                     16,                0.01145,                 2.9494,                      0,                0.89294,                 1.1453,                0.81623,                0.79035,                0.82319,                 0.4227,                0.72499,                0.69987,                0.66073,                0.28635,                0.01143,                 3.2147,                      0,                 1.0306,                 1.3482,               0.001944,               0.001944,               0.001944
                     17,                0.01187,                 2.8113,                      0,                0.92315,                  1.122,                0.76899,                0.86511,                0.84779,                0.43955,                0.50252,                0.56644,                0.40948,                0.14647,                0.01109,                 4.0788,                      0,                0.98414,                 1.2917,                0.00194,                0.00194,                0.00194
                     18,                 0.0112,                 2.4049,                      0,                0.88884,                 1.1085,                0.82848,                0.87991,                0.87735,                0.49089,                0.75358,                0.77152,                0.73072,                0.34987,                0.00995,                 2.5912,                      0,                0.93042,                 1.1835,               0.001936,               0.001936,               0.001936
                     19,                 0.0112,                 2.2526,                      0,                0.89871,                 1.0765,                0.83688,                0.87333,                0.88274,                0.50356,                0.75398,                0.75361,                0.71113,                0.38881,                0.00962,                 2.6154,                      0,                0.92862,                 1.1702,               0.001932,               0.001932,               0.001932
                     20,                0.01103,                 2.2861,                      0,                0.86651,                 1.0699,                0.87343,                0.91738,                0.92422,                0.52976,                0.82056,                0.83568,                0.82038,                0.44472,                0.00988,                 2.1832,                      0,                0.81999,                 1.1719,               0.001928,               0.001928,               0.001928
                     21,                0.01042,                 2.0008,                      0,                0.83697,                 1.0311,                0.85285,                 0.8938,                0.90112,                0.56153,                0.77997,                0.80735,                0.77449,                0.35945,                0.00901,                 2.5985,                      0,                0.93014,                 1.1292,               0.001924,               0.001924,               0.001924
                     22,                 0.0101,                 1.8762,                      0,                0.82192,                 1.0208,                0.87764,                0.93365,                0.92543,                0.59878,                0.79834,                0.82493,                0.78845,                0.37508,                0.00845,                 2.4684,                      0,                 0.7967,                 1.0947,                0.00192,                0.00192,                0.00192
                     23,                0.00986,                 1.6629,                      0,                0.80295,                 1.0058,                0.87014,                0.88302,                0.91085,                0.55453,                0.83998,                0.82611,                0.83473,                0.55768,                0.00926,                 1.6284,                      0,                0.84217,                 1.1017,               0.001916,               0.001916,               0.001916
                     24,                0.01004,                 1.7732,                      0,                0.80088,                 1.0066,                 0.8825,                0.90806,                0.92417,                0.58965,                0.83565,                 0.8476,                0.84146,                0.46147,                0.00881,                 2.0635,                      0,                0.79752,                 1.0943,               0.001912,               0.001912,               0.001912
                     25,                 0.0099,                 1.9862,                      0,                0.80215,                 1.0296,                0.86073,                0.89636,                0.92486,                0.55371,                0.83625,                0.85432,                0.85912,                0.61305,                0.00962,                 1.5114,                      0,                0.87385,                  1.108,               0.001908,               0.001908,               0.001908
                     26,                0.01006,                 1.7203,                      0,                0.80907,                 1.0063,                0.79895,                0.82152,                0.85137,                0.36168,                 0.8055,                0.83458,                 0.8364,                0.57683,                0.01364,                 1.7025,                      0,                 1.0626,                 1.2889,               0.001904,               0.001904,               0.001904
                     27,                0.01009,                 1.6147,                      0,                 0.8219,                 1.0031,                0.90429,                0.92221,                 0.9387,                0.59853,                0.86138,                0.86437,                0.84784,                0.56563,                0.00855,                 1.5825,                      0,                0.74139,                 1.0712,              0.0019001,              0.0019001,              0.0019001
                     28,                0.01013,                 1.7139,                      0,                0.81081,                0.99008,                0.88653,                0.92248,                0.94272,                0.62541,                0.83701,                0.86635,                 0.8588,                0.55589,                 0.0082,                 1.6394,                      0,                0.76634,                 1.0487,              0.0018961,              0.0018961,              0.0018961
