                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03825,                 10.758,                      0,                 2.8542,                 3.6065,                0.02304,                0.18827,                 0.0798,                0.02288,                      0,                      0,                      0,                      0,                0.03024,                   10.7,                      0,                 2.8376,                 2.9624,                0.08408,                  8e-05,                  8e-05
                      2,                0.02604,                 9.5279,                      0,                 1.3565,                 2.5132,                 0.0747,                0.61031,                  0.254,                0.06086,                      0,                      0,                      0,                      0,                0.02233,                 9.6385,                      0,                 2.4256,                 2.5407,               0.067165,             0.00016467,             0.00016467
                      3,                0.02175,                 8.6158,                      0,                 1.1753,                 2.1314,                0.09875,                0.74337,                0.49548,                0.13619,                0.00029,                0.00219,                0.00019,                  2e-05,                0.02031,                 8.6142,                      0,                 2.2517,                 2.2642,               0.050249,               0.000249,               0.000249
                      4,                0.01996,                 8.0433,                      0,                 1.1194,                 1.9437,                0.62732,                0.75306,                0.70315,                 0.2144,                0.08181,                0.13416,                 0.0296,                0.00373,                0.01801,                 7.0974,                      0,                 1.6567,                  1.954,               0.033333,             0.00033299,             0.00033299
                      5,                0.01749,                 7.0166,                      0,                 1.0725,                 1.7316,                0.28233,                0.70371,                0.25976,                0.10086,                0.06822,                0.20307,                0.03586,                0.00513,                0.01531,                 6.4135,                      0,                 2.5747,                 1.8146,               0.016417,             0.00041664,             0.00041664
                      6,                0.01576,                 6.1915,                      0,                 1.0216,                 1.6001,                0.48642,                0.66661,                0.45116,                0.16206,                 0.1617,                0.16907,                0.05701,                0.00975,                0.01647,                 6.4311,                      0,                 1.3227,                 1.7411,               0.000495,               0.000495,               0.000495
                      7,                0.01516,                 5.7696,                      0,                 1.0255,                 1.5149,                0.57094,                0.81155,                0.59305,                0.29169,                  0.137,                 0.1199,                0.05085,                0.00905,                0.01249,                 6.9638,                      0,                 1.1757,                 1.4729,               0.000495,               0.000495,               0.000495
                      8,                  0.014,                 5.2241,                      0,                0.97482,                 1.4336,                0.78914,                0.89326,                0.86343,                0.45738,                0.26415,                 0.3301,                0.13937,                0.03361,                0.01135,                 5.8362,                      0,                0.95236,                 1.3922,               0.000494,               0.000494,               0.000494
                      9,                  0.013,                 4.5235,                      0,                0.91826,                  1.333,                0.81745,                0.91482,                0.88012,                0.51173,                0.71169,                0.79803,                0.70652,                0.25763,                0.01075,                 3.4201,                      0,                 0.8731,                  1.268,               0.000493,               0.000493,               0.000493
                     10,                0.01252,                  3.889,                      0,                0.89964,                 1.2899,                0.71777,                0.86803,                0.75444,                0.36468,                0.55045,                0.48163,                0.44383,                0.15183,                 0.0127,                 4.3596,                      0,                 1.0342,                 1.3469,               0.000492,               0.000492,               0.000492
