                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04151,                 10.973,                      0,                 3.1523,                 3.9099,                0.00034,                0.00305,                0.00017,                  3e-05,                      0,                      0,                      0,                      0,                0.04163,                 11.058,                      0,                 3.2174,                 3.8233,                0.00032,                0.00032,                0.00032
                      2,                0.03274,                 10.512,                      0,                 1.6911,                  2.574,                0.00382,                 0.0335,                0.00211,                0.00047,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,              0.0006578,              0.0006578,              0.0006578
                      3,                 0.0221,                 9.5694,                      0,                  1.327,                   1.78,                0.35681,                0.70996,                0.35796,                0.11468,                      0,                      0,                      0,                      0,                0.01652,                 11.001,                      0,                 4.0704,                 2.5297,             0.00099334,             0.00099334,             0.00099334
                      4,                0.01806,                  9.248,                      0,                 1.1162,                  1.527,                0.31972,                 0.6297,                0.24153,                0.07733,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,              0.0013266,              0.0013266,              0.0013266
                      5,                0.01626,                 9.0821,                      0,                 1.0848,                 1.4067,                0.22077,                0.52401,                0.17682,                0.05002,                      0,                      0,                      0,                      0,                0.02108,                 11.385,                      0,                    inf,                 3.4252,              0.0016576,              0.0016576,              0.0016576
                      6,                 0.0156,                 8.5784,                      0,                 1.0134,                 1.3064,                0.71681,                0.82623,                0.79133,                 0.3537,                      0,                      0,                      0,                      0,                0.01325,                 10.301,                      0,                 2.1952,                 1.6145,              0.0019667,              0.0019667,              0.0019667
                      7,                0.01491,                 8.2333,                      0,                0.97243,                 1.2335,                0.73854,                0.80777,                0.79859,                0.37092,                      0,                      0,                      0,                      0,                0.01288,                 10.073,                      0,                 1.5903,                 1.3606,              0.0019667,              0.0019667,              0.0019667
                      8,                0.01447,                 7.8454,                      0,                0.97205,                 1.2094,                0.62222,                0.51283,                0.49253,                0.18675,                0.00039,                 0.0034,                 0.0002,                  3e-05,                0.01691,                 10.035,                      0,                 1.2936,                 1.8396,                0.00196,                0.00196,                0.00196
                      9,                0.01465,                  8.061,                      0,                0.96224,                 1.1808,                0.72695,                0.75403,                0.72905,                0.31764,                0.03507,                0.03959,                0.00516,                0.00063,                 0.0133,                 8.7577,                      0,                 1.4678,                 1.4887,              0.0019534,              0.0019534,              0.0019534
                     10,                0.01432,                 7.4293,                      0,                0.95462,                 1.1475,                0.80932,                0.79076,                0.82257,                0.39212,                0.01178,                0.03332,                0.00345,                0.00043,                0.01257,                 8.6161,                      0,                 1.0962,                  1.348,              0.0019467,              0.0019467,              0.0019467
                     11,                0.01422,                 7.5213,                      0,                0.95967,                 1.1172,                0.67068,                0.62164,                0.62815,                0.28062,                 0.0258,                0.01469,                0.00266,                0.00033,                 0.0151,                 8.8016,                      0,                  1.165,                 1.6011,              0.0019401,              0.0019401,              0.0019401
                     12,                0.01383,                 6.9063,                      0,                0.93086,                 1.0785,                0.77554,                0.80713,                0.76522,                0.35661,                0.02577,                0.10426,                0.01154,                 0.0016,                0.01264,                 8.5226,                      0,                 1.1912,                 1.2997,              0.0019334,              0.0019334,              0.0019334
                     13,                0.01374,                 6.8521,                      0,                0.92283,                 1.0536,                0.82428,                0.82927,                0.85627,                0.43083,                0.01524,                0.14099,                 0.0089,                0.00119,                0.01168,                 8.3874,                      0,                 1.0175,                 1.1296,              0.0019267,              0.0019267,              0.0019267
                     14,                 0.0137,                 6.8649,                      0,                0.93311,                 1.0278,                0.84183,                0.84683,                0.87803,                0.43988,                0.16539,                0.17341,                0.04554,                0.00638,                0.01168,                 7.2944,                      0,                0.96521,                 1.2142,              0.0019201,              0.0019201,              0.0019201
                     15,                0.01297,                  6.415,                      0,                0.89619,                 1.0162,                0.83039,                0.86313,                0.87724,                0.46655,                 0.1953,                0.22519,                0.08471,                0.01299,                0.01117,                   6.75,                      0,                0.95575,                 1.1493,              0.0019134,              0.0019134,              0.0019134
                     16,                0.01278,                 6.3813,                      0,                 0.8822,                 1.0116,                0.85738,                0.87129,                0.89863,                0.49633,                0.55202,                0.53565,                0.39072,                0.11872,                0.01076,                 5.9324,                      0,                0.89081,                 1.0632,              0.0019068,              0.0019068,              0.0019068
