                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0083,                  11.32,                      0,                0.71763,                0.91078,                0.93425,                0.96663,                0.97371,                0.61611,                      0,                      0,                      0,                      0,                0.00889,                 11.067,                      0,                0.76323,                0.84616,                0.00032,                0.00032,                0.00032
                      2,                0.00803,                 10.877,                      0,                0.62078,                0.86441,                0.95333,                0.97058,                 0.9819,                0.73706,                      0,                      0,                      0,                      0,                0.00685,                 10.277,                      0,                0.57373,                0.80333,             0.00065835,             0.00065835,             0.00065835
                      3,                 0.0082,                 9.9031,                      0,                0.63259,                0.86562,                 0.9572,                0.96691,                  0.981,                0.70479,                      0,                      0,                      0,                      0,                0.00743,                 9.4181,                      0,                0.62095,                0.79762,               0.000995,               0.000995,               0.000995
                      4,                0.00825,                 8.9752,                      0,                0.63879,                 0.8766,                0.96095,                0.96364,                0.98324,                 0.6878,                      0,                      0,                      0,                      0,                0.00777,                 8.6256,                      0,                 0.6122,                0.82044,                0.00133,                0.00133,                0.00133
                      5,                0.00815,                 8.3484,                      0,                 0.6289,                0.88405,                0.95613,                0.96162,                0.98154,                0.72277,                      0,                      0,                      0,                      0,                0.00739,                 8.1845,                      0,                0.61887,                0.84606,              0.0016632,              0.0016632,              0.0016632
                      6,                0.00854,                 7.9064,                      0,                0.65779,                0.90191,                 0.9518,                0.97003,                0.98252,                0.70141,                 0.0014,                 0.0011,                0.00021,                  2e-05,                0.00753,                 7.4383,                      0,                0.60447,                0.87153,               0.001975,               0.001975,               0.001975
                      7,                0.00836,                 7.1914,                      0,                0.66224,                 0.9319,                0.94505,                0.96127,                0.97928,                0.69153,                0.12184,                0.11473,                0.02984,                0.00304,                  0.008,                 6.0594,                      0,                 0.7094,                0.86716,               0.001975,               0.001975,               0.001975
                      8,                0.00825,                 6.3652,                      0,                0.65758,                0.90443,                0.95435,                0.97639,                0.98158,                0.72135,                0.34021,                0.28976,                0.17229,                0.01936,                0.00728,                 5.6125,                      0,                0.59652,                0.81389,                0.00197,                0.00197,                0.00197
                      9,                0.00841,                 5.3916,                      0,                0.66828,                0.90357,                0.94308,                0.95953,                0.97837,                0.71451,                0.35741,                0.34565,                 0.1989,                0.02951,                0.00742,                 5.1223,                      0,                0.59763,                 0.8278,               0.001965,               0.001965,               0.001965
                     10,                0.00835,                 4.7775,                      0,                0.65911,                0.90167,                0.95322,                0.95955,                0.97749,                0.66824,                0.63139,                0.56876,                0.55033,                0.11619,                0.00845,                 4.5222,                      0,                0.63501,                0.85567,                0.00196,                0.00196,                0.00196
