                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04342,                 8.0501,                      0,                 4.5067,                 4.2251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04374,                   9.64,                      0,                 3.9478,                 4.1551,                  2e-05,                  2e-05,                  2e-05
                      2,                0.04348,                 8.1534,                      0,                 4.4312,                 4.2181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04374,                 9.6401,                      0,                 3.9457,                 4.1545,              5.985e-05,              5.985e-05,              5.985e-05
                      3,                0.04353,                  8.047,                      0,                 4.5172,                  4.222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04373,                 9.6393,                      0,                 3.9131,                 4.1448,             9.9501e-05,             9.9501e-05,             9.9501e-05
                      4,                0.04342,                 8.1072,                      0,                 3.9062,                 4.0346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04373,                 9.6354,                      0,                 3.7109,                 4.1068,             0.00013895,             0.00013895,             0.00013895
                      5,                0.04223,                 7.9562,                      0,                 3.2452,                 3.6997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04372,                 9.6319,                      0,                  3.528,                 4.0702,              0.0001782,              0.0001782,              0.0001782
                      6,                0.04184,                 8.0929,                      0,                 3.3551,                  3.557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04372,                 9.6311,                      0,                 3.5102,                 4.0657,             0.00021725,             0.00021725,             0.00021725
                      7,                0.04151,                 7.8734,                      0,                 2.9411,                 3.4579,                0.00011,                0.00124,                  5e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04353,                 9.6176,                      0,                 3.5314,                 3.9698,              0.0002561,              0.0002561,              0.0002561
                      8,                0.03885,                 7.5726,                      0,                 2.4705,                 3.1837,                0.00011,                0.00124,                  5e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04346,                 9.6034,                      0,                 3.4646,                 3.9274,             0.00029476,             0.00029476,             0.00029476
                      9,                0.03392,                 6.8415,                      0,                 2.0352,                 3.0713,                0.00011,                0.00124,                  5e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04338,                 9.5505,                      0,                 3.4908,                 3.9034,             0.00033321,             0.00033321,             0.00033321
                     10,                0.03589,                 6.7353,                      0,                 1.9697,                 2.9863,                0.00011,                0.00124,                  5e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04285,                 9.4698,                      0,                 3.3094,                 3.7207,             0.00037146,             0.00037146,             0.00037146
                     11,                0.03153,                 6.4058,                      0,                 1.7555,                 2.6304,                0.00022,                0.00247,                0.00011,                  2e-05,                      0,                      0,                      0,                      0,                0.04201,                 8.8559,                      0,                 3.0935,                 3.5313,             0.00040951,             0.00040951,             0.00040951
                     12,                  0.034,                 5.9882,                      0,                 1.8517,                 2.6665,                0.00011,                0.00124,                  6e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04237,                 8.8897,                      0,                 3.1559,                 3.6414,             0.00044736,             0.00044736,             0.00044736
                     13,                0.03221,                 5.4448,                      0,                 1.6824,                  2.556,                0.34383,                0.38937,                0.20205,                0.05295,                      0,                      0,                      0,                      0,                0.02444,                 8.7404,                      0,                 2.9042,                 4.7596,             0.00048501,             0.00048501,             0.00048501
                     14,                0.02734,                 5.3242,                      0,                 1.5255,                 2.3163,                0.30021,                0.32138,                0.13726,                0.03641,                      0,                      0,                      0,                      0,                0.02592,                  8.423,                      0,                  4.744,                 4.0368,             0.00052247,             0.00052247,             0.00052247
                     15,                0.02888,                 5.1728,                      0,                 1.5784,                 2.3045,                0.30863,                0.27318,                0.12937,                0.02421,                0.00227,                0.00124,                0.00021,                  3e-05,                0.02684,                 8.4536,                      0,                 3.4704,                  4.319,             0.00055972,             0.00055972,             0.00055972
                     16,                0.02593,                 4.7516,                      0,                 1.5371,                 2.2126,                0.24335,                0.30037,                0.10483,                0.01776,                0.00808,                0.06428,                0.00532,                0.00116,                0.02636,                 8.4288,                      0,                 5.9976,                 5.2149,             0.00059677,             0.00059677,             0.00059677
