                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04364,                 7.7377,                      0,                 4.6581,                 4.2432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04376,                 9.6379,                      0,                 3.9046,                 4.1498,                  6e-05,                  6e-05,                  6e-05
                      2,                0.04333,                 7.9994,                      0,                 3.6636,                  4.005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04369,                 9.6166,                      0,                 3.5484,                 4.0011,             0.00013965,             0.00013965,             0.00013965
                      3,                0.04196,                  7.604,                      0,                    3.3,                 3.5057,                0.00011,                0.00124,                  5e-05,                  1e-05,                      0,                      0,                      0,                      0,                0.04332,                 9.4719,                      0,                 3.6103,                 3.8072,              0.0002189,              0.0002189,              0.0002189
                      4,                 0.0371,                 6.6778,                      0,                 3.0281,                 3.0871,                0.00036,                0.00124,                0.00016,                  2e-05,                0.00862,                0.10012,                0.00481,                0.00084,                0.03681,                 6.7475,                      0,                 9.1683,                 3.1419,             0.00029775,             0.00029775,             0.00029775
                      5,                0.03182,                  5.416,                      0,                 2.1104,                 2.7531,                0.40358,                0.72269,                0.35943,                0.10004,                0.00475,                0.04574,                0.00272,                0.00106,                0.01902,                 9.2041,                      0,                    inf,                 13.506,              0.0003762,              0.0003762,              0.0003762
                      6,                0.02722,                 4.6506,                      0,                 1.7558,                 2.3334,                0.38147,                0.41904,                0.25238,                0.06533,                0.00638,                0.05315,                0.00341,                0.00111,                    nan,                    nan,                      0,                    nan,                    nan,             0.00045426,             0.00045426,             0.00045426
                      7,                 0.0236,                  4.588,                      0,                 1.4506,                 2.2069,                0.01008,                0.00865,                 0.0031,                0.00109,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,             0.00053191,             0.00053191,             0.00053191
                      8,                0.02223,                 4.1464,                      0,                  1.425,                 1.8868,                0.06814,                0.43881,                0.05234,                0.01523,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,             0.00060916,             0.00060916,             0.00060916
                      9,                0.02234,                 3.7605,                      0,                 1.5323,                 1.8865,                0.02551,                0.06304,                0.01279,                0.00322,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,             0.00068601,             0.00068601,             0.00068601
                     10,                0.01963,                 3.4371,                      0,                 1.3148,                  1.835,                0.02551,                0.06304,                0.01279,                0.00322,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,             0.00076247,             0.00076247,             0.00076247
                     11,                0.01825,                 4.0342,                      0,                 1.2548,                 1.8659,                0.03078,                0.27689,                0.01815,                0.00441,                 0.0068,                0.06304,                0.00336,                0.00089,                    nan,                    nan,                      0,                    nan,                    nan,             0.00083852,             0.00083852,             0.00083852
                     12,                0.01694,                 3.2164,                      0,                 1.2066,                 1.6707,                0.01895,                0.07169,                0.01367,                0.00284,                0.00099,                0.00371,                 0.0004,                0.00016,                    nan,                    nan,                      0,                    nan,                    nan,             0.00091418,             0.00091418,             0.00091418
                     13,                0.01728,                 3.3943,                      0,                 1.2332,                 1.5963,                0.06259,                0.10507,                0.02167,                0.00399,                 0.0061,                0.03585,                0.00283,                0.00075,                    nan,                    nan,                      0,                    nan,                    nan,             0.00098943,             0.00098943,             0.00098943
                     14,                0.01658,                 3.1457,                      0,                 1.2417,                   1.67,                 0.0376,                0.44623,                0.03255,                0.01108,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,              0.0010643,              0.0010643,              0.0010643
                     15,                0.01684,                 2.6888,                      0,                 1.1716,                 1.5946,                 0.0376,                0.44623,                0.03255,                0.01108,                      0,                      0,                      0,                      0,                    nan,                    nan,                      0,                    nan,                    nan,              0.0011387,              0.0011387,              0.0011387
                     16,                 0.0167,                 2.6555,                      0,                  1.185,                 1.6392,                0.00052,                0.00618,                0.00026,                 0.0001,                 0.0001,                0.00124,                  5e-05,                  3e-05,                    nan,                    nan,                      0,                    nan,                    nan,              0.0012128,              0.0012128,              0.0012128
                     17,                0.01714,                  2.609,                      0,                 1.2368,                 1.6254,                0.00074,                0.00865,                0.00037,                  7e-05,                0.00011,                0.00124,                  5e-05,                  4e-05,                    nan,                    nan,                      0,                    nan,                    nan,              0.0012865,              0.0012865,              0.0012865
                     18,                0.01569,                 2.4676,                      0,                 1.1366,                 1.5492,                0.00105,                0.01236,                0.00056,                 0.0001,                0.00021,                0.00247,                0.00015,                  2e-05,                0.01854,                   9.75,                      0,                    inf,                 89.425,              0.0013597,              0.0013597,              0.0013597
