                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3497,                 5.4919,                  3.304,                 4.1627,                0.01329,                0.66246,                0.01185,                0.00384,                0.00171,                0.08517,                0.00093,                0.00014,                 2.9716,                 5.1787,                  3.504,                 4.1454,                0.00038,                0.00038,                0.00038
                      2,                 2.5531,                 3.4742,                 2.0551,                 3.6241,                0.00511,                0.01998,                0.00259,                 0.0005,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007787,              0.0007787,              0.0007787
                      3,                 1.8909,                 2.9283,                 1.4781,                 2.8704,                0.00949,                0.47319,                0.00784,                0.00236,                0.00044,                0.02208,                0.00024,                  3e-05,                    nan,                    nan,                    nan,                    nan,              0.0011761,              0.0011761,              0.0011761
                      4,                  1.647,                 2.2175,                 1.2796,                 2.4998,                0.01817,                0.63407,                0.01538,                0.00533,                0.00491,                0.22292,                0.00309,                0.00123,                    nan,                    nan,                    nan,                    nan,              0.0015721,              0.0015721,              0.0015721
                      5,                 1.5617,                 1.7718,                 1.2038,                 2.3388,                0.00187,                0.09148,                0.00103,                0.00054,                0.00169,                0.08307,                0.00093,                 0.0005,                    nan,                    nan,                    nan,                    nan,              0.0019668,              0.0019668,              0.0019668
                      6,                 1.3459,                 1.2816,                 1.0504,                  2.099,                0.37267,                0.81493,                0.46101,                0.27832,                0.28948,                0.63302,                0.28186,                0.12273,                 1.3977,                 76.858,                 10.244,                 2.7171,              0.0019834,              0.0019834,              0.0019834
                      7,                 1.1481,                 1.2165,                0.92959,                 1.8922,                0.77224,                0.69506,                0.73611,                 0.4481,                0.69003,                0.65195,                0.62813,                0.29558,                 1.4517,                 5.2852,                 1.8106,                 2.4234,              0.0019834,              0.0019834,              0.0019834
                      8,                 1.2228,                0.86746,                0.91034,                 1.8934,                0.79272,                0.84122,                0.88645,                0.60755,                0.76742,                0.81493,                0.84217,                0.47484,                  1.141,                 2.1263,                 1.3281,                 2.1142,                0.00198,                0.00198,                0.00198
                      9,                 1.0087,                0.75972,                0.80653,                 1.6766,                0.82047,                0.69401,                0.75566,                0.56642,                0.82103,                 0.6919,                0.75413,                0.56582,                 1.0719,                 1.3415,                 1.7316,                  1.914,              0.0019767,              0.0019767,              0.0019767
                     10,                0.98113,                0.70293,                0.78909,                 1.6069,                 0.8622,                0.84017,                0.89985,                0.66131,                0.86374,                0.83982,                0.89919,                0.71329,                 1.0447,                0.79442,                 1.1698,                  1.891,              0.0019734,              0.0019734,              0.0019734
                     11,                0.89389,                0.64726,                  0.722,                 1.5026,                0.83268,                0.86435,                0.91259,                0.71469,                0.82291,                0.87171,                0.91065,                0.77278,                0.86146,                0.65949,                 1.2822,                  1.631,                0.00197,                0.00197,                0.00197
                     12,                0.82147,                0.61452,                0.66082,                 1.4308,                0.90345,                0.92534,                0.96205,                0.78921,                0.90738,                0.92715,                0.96242,                0.83775,                0.75536,                0.56352,                0.81514,                 1.4637,              0.0019667,              0.0019667,              0.0019667
                     13,                0.78944,                0.64642,                0.65757,                  1.394,                0.84117,                0.89105,                0.92317,                0.75679,                0.84752,                0.88839,                0.91782,                0.74468,                0.76877,                 1.1635,                 1.3952,                 1.5029,              0.0019634,              0.0019634,              0.0019634
                     14,                0.71793,                0.61528,                0.62591,                 1.3185,                 0.9113,                0.90742,                0.94923,                0.80432,                0.91479,                0.90116,                0.94757,                0.81576,                0.64319,                0.67384,                0.73031,                 1.3407,                0.00196,                0.00196,                0.00196
                     15,                0.65911,                0.50614,                0.59372,                 1.2628,                0.93915,                 0.9327,                0.97631,                0.83158,                0.93335,                0.94006,                0.97764,                0.87386,                0.64647,                 0.4315,                0.57998,                 1.3214,              0.0019567,              0.0019567,              0.0019567
                     16,                0.67483,                0.50215,                0.57388,                 1.2536,                0.91667,                0.90011,                0.95885,                0.82969,                0.92202,                0.90536,                0.96107,                0.88507,                0.59344,                0.39689,                0.55932,                 1.2485,              0.0019534,              0.0019534,              0.0019534
                     17,                0.67403,                0.48648,                0.55784,                 1.2273,                0.92855,                0.92924,                0.97458,                0.80501,                 0.9296,                 0.9303,                0.97407,                0.88625,                0.71741,                0.40577,                0.55206,                 1.3721,              0.0019501,              0.0019501,              0.0019501
                     18,                0.65579,                0.50625,                0.55877,                 1.2225,                0.87986,                0.89329,                0.94543,                0.82045,                0.87779,                0.89119,                0.94421,                0.85306,                0.58753,                0.50822,                0.56077,                 1.2465,              0.0019467,              0.0019467,              0.0019467
